Input_type,Input_detail,Result_type,Result_detail,Result_duration,Choice_share,Comment
ENTER,,TEXT,Hello?,,,First entry to the state
TIMER_R,15,TEXT,Hello?,,1,Recurring timer with multiple possible outcomes
TIMER_R,15,TEXT,Anyone there?,,1,
TIMER_R,15,TEXT,What's going on?,,1,
USER_IN,Go to sleep,TEXT,""Oh, okay."",,1,
CONTD,,STATE_TRANSITION,SLEEP,,,
USER_IN,Hello,TEXT,"Who's there? It's really dark.",,,
CONTD,,STATE_TRANSITION,FIRST CONTACT,,,
NET,Other badge connection,TEXT,"WHAT THE HELL IS THAT?",,,
NET,Nearby badges from 0 to 1,TEXT,"Something's out there…",,1,
NET,Nearby badges from 0 to 2,TEXT,"I'm not alone.",,1,
NET,Nearby badges from 0 to 3,TEXT,"Who's out there?,,1,
NET,Nearby badges from 0 to 4,TEXT,"This is weird.",,1,
